signal_id,Signal,Theme,Theme_Description,Type,Primary_Data_Source,Calculation_Logic,Risk_Threshold,NBA_on_Trigger,Rationale,Metric_Field,Direction,P10,P25,P50,P75,P90,Alert_Threshold_Expr,Critical_Threshold_Expr
S001,Cloud Spend Variance,Cost,"Economic Efficiency, Scalability & Performance",Leading,Product Telemetry,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S002,Idle Resource Ratio,Cost,"Economic Efficiency, Scalability & Performance",Lagging,CRM,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S003,Reserved Coverage,Cost,"Economic Efficiency, Scalability & Performance",Leading,Support System,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S004,Rightsizing Opportunity,Cost,"Economic Efficiency, Scalability & Performance",Leading,Marketing Automation,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S005,License Utilization,Cost,"Economic Efficiency, Scalability & Performance",Leading,Compliance Tool,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S006,Data Egress Cost Spike,Cost,"Economic Efficiency, Scalability & Performance",Lagging,Product Telemetry,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S007,Savings Plan Coverage,Cost,"Economic Efficiency, Scalability & Performance",Leading,Billing,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S008,Storage Tier Mix,Cost,"Economic Efficiency, Scalability & Performance",Leading,CRM,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S009,CPU Utilization,Cost,"Economic Efficiency, Scalability & Performance",Leading,Identity/SSO,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
S010,GPU Utilization,Cost,"Economic Efficiency, Scalability & Performance",Leading,Usage Analytics,FinOps_Score < 60 or Cloud_Spend_Variance > 15%,finops_score <= 47.000,Launch FinOps review; rightsize compute; negotiate reserved capacity; enable budget alerts.,Correlates with cost impact and time-to-value acceleration.,finops_score,LOWER_IS_RISK,47.0,57.0,69.0,79.0,87.0,finops_score <= 57.000,finops_score <= 47.000
